employee_id;nom_complet;store_id;profile;conversion_rate;salary;anciennete_mois;hire_date;end_date;role;average_day_time_backoffice;average_day_time_frontoffice
E0001;Hugo Laurent;S01;Experimente;0,26;2734;102;2016-06-02;;Sales;0,07;0,93
E0002;Paul Lefevre;S01;JeunePrometteur;0,19;2051;52;2020-08-10;;Sales;0,13;0,87
E0003;Emma Richard;S01;Experimente;0,28;2808;132;2013-12-16;;Sales;0,1;0,9
E0004;Lucas Martin;S01;JeunePrometteur;0,18;1977;47;2021-01-02;;Sales;0,11;0,89
E0005;Nathan Lefevre;S01;Blase;0,11;2201;105;2016-03-11;;Sales;0,19;0,81
E0006;Paul Laurent;S01;Blase;0,15;2700;198;2008-06-18;;Support;0,2;0,8
E0007;Paul Martin;S02;JeunePrometteur;0,19;2268;64;2019-08-15;;Sales;0,12;0,88
E0008;Sarah Dubois;S02;Experimente;0,29;2731;108;2015-12-06;;Support;0,08;0,92
E0009;Camille Thomas;S02;Requin;0,34;2889;154;2012-02-11;;Manager;0,05;0,95
E0010;Leo Lefevre;S02;Blase;0,13;2606;172;2010-08-05;;Sales;0,21;0,79
E0011;Alice Petit;S02;Requin;0,3;3151;83;2018-01-09;;Sales;0,06;0,94
E0012;Emma Laurent;S03;JeunePrometteur;0,19;2066;27;2022-09-18;;Sales;0,16;0,84
E0013;Emma Richard;S03;JeunePrometteur;0,17;2078;69;2019-03-27;;Sales;0,18;0,82
E0014;Leo Robert;S03;Blase;0,15;2255;132;2013-12-01;;Sales;0,23;0,77
E0015;Ines Bernard;S03;JeunePrometteur;0,21;2082;34;2022-02-03;;Manager;0,11;0,89
E0016;Camille Laurent;S03;Blase;0,13;2342;103;2016-05-06;;Sales;0,23;0,77
E0017;Lucas Moreau;S04;Experimente;0,26;2981;72;2018-12-23;;Sales;0,1;0,9
E0018;Jade Simon;S04;Experimente;0,23;2543;88;2017-08-02;;Sales;0,11;0,89
E0019;Leo Simon;S04;Experimente;0,24;2930;72;2018-12-26;;Sales;0,11;0,89
E0020;Alice Thomas;S04;Experimente;0,28;2970;132;2013-12-09;;Sales;0,1;0,9
E0021;Lina Bernard;S04;JeunePrometteur;0,17;2087;42;2021-06-23;;Sales;0,18;0,82
E0022;Leo Simon;S05;Blase;0,14;2417;76;2018-08-24;;Sales;0,29;0,71
E0023;Lucas Durand;S05;Stagiaire;0,06;719;17;2023-07-20;;Apprentice;0,2;0,8
E0024;Emma Laurent;S05;Experimente;0,24;2582;128;2014-04-12;;Sales;0,11;0,89
E0025;Sarah Richard;S05;JeunePrometteur;0,17;2261;43;2021-05-14;;Sales;0,12;0,88
E0026;Sarah Moreau;S05;Stagiaire;0,1;823;12;2023-12-06;;Apprentice;0,27;0,73
E0027;Noah Dubois;S05;Blase;0,11;2593;167;2011-01-13;;Sales;0,21;0,79
E0028;Lina Bernard;S06;Blase;0,1;2218;4;2024-08-08;;Sales;0,24;0,76
E0029;Hugo Thomas;S06;Experimente;0,24;2470;8;2023-11-07;2024-07-07;Sales;0,06;0,94
E0030;Ines Lefevre;S06;JeunePrometteur;0,17;2147;3;2024-09-14;;Support;0,16;0,84
E0031;Sarah Michel;S06;Blase;0,13;2721;12;2023-08-03;2024-08-03;Support;0,27;0,73
E0032;Nathan Robert;S06;Experimente;0,27;2895;34;2022-02-22;;Manager;0,07;0,93
E0033;Hugo Robert;S06;Stagiaire;0,07;749;6;2024-06-02;;Apprentice;0,21;0,79
E0034;Emma Lefevre;S06;Stagiaire;0,1;801;5;2023-12-10;2024-05-10;Apprentice;0,22;0,78
E0035;Leo Moreau;S06;JeunePrometteur;0,18;2111;5;2024-07-18;;Manager;0,16;0,84
E0036;Hugo Thomas;S06;Experimente;0,27;2507;2;2024-10-18;;Sales;0,08;0,92
E0037;Jade Moreau;S06;Experimente;0,27;2559;8;2024-01-09;2024-09-09;Sales;0,08;0,92
E0038;Noah Thomas;S07;JeunePrometteur;0,18;2251;24;2022-12-21;;Sales;0,11;0,89
E0039;Jade Martin;S07;JeunePrometteur;0,18;2286;48;2020-12-06;;Support;0,1;0,9
E0040;Lina Bernard;S07;JeunePrometteur;0,19;2229;26;2022-10-27;;Sales;0,16;0,84
E0041;Lucas Petit;S07;Stagiaire;0,06;875;19;2023-05-11;;Apprentice;0,24;0,76
E0042;Leo Dubois;S07;Requin;0,32;3045;148;2012-08-09;;Manager;0,02;0,98
E0043;Nathan Dubois;S07;Experimente;0,27;2756;60;2019-12-10;;Sales;0,1;0,9
E0044;Hugo Durand;S08;Requin;0,31;2806;90;2017-06-11;;Sales;0,04;0,96
E0045;Leo Richard;S08;Stagiaire;0,08;948;21;2023-03-27;;Apprentice;0,23;0,77
E0046;Paul Durand;S08;Experimente;0,22;2964;92;2017-04-04;;Support;0,07;0,93
E0047;Jade Bernard;S08;Blase;0,11;2729;105;2016-03-12;;Sales;0,2;0,8
E0048;Nina Michel;S08;Experimente;0,22;2633;113;2015-07-08;;Sales;0,09;0,91
